epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0763,1.63119,5.36432,1.65535,0,0,0,0,1.36035,4.33253,1.52396,0.0001274,0.0001274,0.0001274
2,34.7366,1.17638,4.71551,1.3003,0.01501,0.52083,0.15879,0.11894,1.08447,3.80983,1.11319,0.000254215,0.000254215,0.000254215
3,44.4733,1.17055,4.21952,1.2666,0.98964,0.0625,0.22198,0.1557,1.09104,3.31698,1.078,0.000375805,0.000375805,0.000375805
4,58.111,1.16405,4.00894,1.23476,0.79635,0.125,0.2215,0.15608,1.16212,3.06338,1.12418,0.000427973,0.000427973,0.000427973
5,71.57,1.13723,3.6223,1.21437,0.42478,0.45587,0.39055,0.26265,1.13009,2.5808,1.12175,0.000418964,0.000418964,0.000418964
6,82.292,1.08958,3.37514,1.18091,0.24672,0.44594,0.30601,0.21079,1.05008,2.67223,1.10684,0.000409955,0.000409955,0.000409955
7,95.5475,1.05386,3.09964,1.15511,0.32515,0.55417,0.51464,0.37199,1.16035,2.18871,1.18012,0.000400946,0.000400946,0.000400946
8,108.132,1.02157,2.87949,1.13381,0.4218,0.54466,0.54183,0.37141,1.4519,2.12887,1.50783,0.000391937,0.000391937,0.000391937
9,118.554,1.00642,2.68067,1.1466,0.54652,0.64072,0.6348,0.47453,1.07601,1.74628,1.14584,0.000382928,0.000382928,0.000382928
10,131.474,0.95828,2.47132,1.09795,0.67752,0.66976,0.75556,0.55503,1.18041,1.53464,1.16412,0.000373919,0.000373919,0.000373919
11,143.594,0.90103,2.32041,1.07417,0.55629,0.72874,0.7434,0.58742,0.97416,1.7278,1.05155,0.00036491,0.00036491,0.00036491
12,158.881,0.83932,2.1161,1.02268,0.56045,0.56587,0.70665,0.55038,0.99209,1.93664,1.08582,0.000355901,0.000355901,0.000355901
13,171.111,0.87973,2.08854,1.04922,0.63275,0.74481,0.79599,0.623,0.98476,1.59121,1.06463,0.000346892,0.000346892,0.000346892
14,184.319,0.85248,1.93044,1.03444,0.75556,0.65011,0.80614,0.61071,1.0068,1.57128,1.0983,0.000337883,0.000337883,0.000337883
15,194.749,0.84056,1.88432,1.03398,0.72185,0.72206,0.84563,0.63466,1.05701,1.37854,1.08472,0.000328874,0.000328874,0.000328874
16,207.298,0.8326,1.78083,1.03439,0.62085,0.70546,0.77147,0.58705,0.98443,1.49777,1.04859,0.000319865,0.000319865,0.000319865
17,220.232,0.80395,1.72536,1.01223,0.79639,0.67219,0.85134,0.66921,0.90284,1.49658,0.99929,0.000310856,0.000310856,0.000310856
18,230.198,0.77879,1.66843,1.01021,0.62715,0.83932,0.80814,0.62436,0.96172,1.28124,1.05486,0.000301847,0.000301847,0.000301847
19,243.434,0.75535,1.61554,1.00561,0.64649,0.75608,0.78486,0.5779,1.129,1.46556,1.09804,0.000292838,0.000292838,0.000292838
20,256.817,0.75043,1.56029,0.99355,0.72705,0.81513,0.84371,0.64156,0.94915,1.17374,1.00522,0.000283829,0.000283829,0.000283829
21,266.723,0.70633,1.44865,0.96265,0.69818,0.73883,0.84059,0.62455,1.03137,1.31242,1.05118,0.00027482,0.00027482,0.00027482
22,279.781,0.72951,1.48047,0.98912,0.76947,0.69146,0.79794,0.58172,1.01106,1.26346,1.02637,0.000265811,0.000265811,0.000265811
23,292.109,0.72485,1.44402,0.97402,0.60807,0.78453,0.83327,0.65059,0.9954,1.29856,1.04271,0.000256802,0.000256802,0.000256802
24,302.626,0.72133,1.3687,0.97028,0.89711,0.73499,0.80477,0.62874,0.9634,1.09597,1.02683,0.000247793,0.000247793,0.000247793
25,315.871,0.68329,1.33931,0.96347,0.83526,0.74978,0.84752,0.64243,0.93873,1.0611,1.03921,0.000238784,0.000238784,0.000238784
26,327.81,0.69235,1.36357,0.95679,0.86417,0.76405,0.87205,0.63773,1.00301,1.02714,1.05855,0.000229775,0.000229775,0.000229775
27,338.741,0.71932,1.35948,0.9844,0.75065,0.83673,0.84993,0.67008,0.85183,1.07921,0.99158,0.000220766,0.000220766,0.000220766
28,354.311,0.69891,1.29686,0.96078,0.77968,0.85831,0.8894,0.7205,0.81678,0.98384,0.97612,0.000211757,0.000211757,0.000211757
29,365.302,0.65722,1.25588,0.95558,0.86117,0.79218,0.87709,0.68398,0.8656,1.02279,1.00856,0.000202748,0.000202748,0.000202748
30,377.11,0.64008,1.18105,0.9493,0.78872,0.86073,0.89415,0.7082,0.81185,0.8718,0.97932,0.000193739,0.000193739,0.000193739
31,390.517,0.66285,1.20956,0.96081,0.76031,0.8075,0.8297,0.65493,0.8975,1.15904,1.01083,0.00018473,0.00018473,0.00018473
32,400.639,0.64767,1.17389,0.9353,0.68702,0.7909,0.82119,0.61309,1.00226,1.21504,1.06201,0.000175721,0.000175721,0.000175721
33,413.06,0.64828,1.15462,0.95338,0.78897,0.80503,0.867,0.66951,0.87076,1.02094,0.99582,0.000166712,0.000166712,0.000166712
34,426.175,0.62186,1.14651,0.95167,0.75425,0.87183,0.89751,0.70631,0.87567,0.8431,0.97989,0.000157703,0.000157703,0.000157703
35,436.68,0.62644,1.09278,0.94292,0.77423,0.87401,0.89693,0.71769,0.79276,0.89214,0.97613,0.000148694,0.000148694,0.000148694
36,449.268,0.61329,1.08488,0.94627,0.77243,0.76668,0.88451,0.66044,0.94109,1.04966,1.03501,0.000139685,0.000139685,0.000139685
37,462.614,0.59531,1.06119,0.9179,0.80958,0.72339,0.83507,0.64716,0.91196,1.00689,1.02625,0.000130676,0.000130676,0.000130676
38,472.295,0.58579,1.03291,0.93016,0.78138,0.84982,0.87639,0.65743,0.91332,0.93275,1.00823,0.000121667,0.000121667,0.000121667
39,485.181,0.57942,1.06635,0.92714,0.75132,0.85152,0.88627,0.67069,0.89594,0.88846,1.01688,0.000112658,0.000112658,0.000112658
40,498.148,0.60141,1.04821,0.93104,0.798,0.79034,0.88844,0.67342,0.94898,0.9921,1.03089,0.000103649,0.000103649,0.000103649
41,510.828,0.43536,1.0009,0.85694,0.77432,0.80052,0.88989,0.69551,0.90581,1.06858,1.01549,9.464e-05,9.464e-05,9.464e-05
42,523.716,0.43888,1.02174,0.85454,0.72361,0.90345,0.89094,0.69899,0.87192,0.87085,1.00812,8.5631e-05,8.5631e-05,8.5631e-05
43,537.088,0.40738,0.93998,0.83004,0.80547,0.88349,0.90295,0.71171,0.90143,0.83423,1.02191,7.6622e-05,7.6622e-05,7.6622e-05
44,551.996,0.41779,0.93928,0.83818,0.84918,0.89361,0.90269,0.71314,0.84945,0.79302,1.0056,6.7613e-05,6.7613e-05,6.7613e-05
45,562.56,0.41014,0.91654,0.83948,0.77901,0.90375,0.90274,0.7008,0.86237,0.78788,1.00418,5.8604e-05,5.8604e-05,5.8604e-05
46,575.713,0.41191,0.93225,0.84642,0.72417,0.91516,0.90212,0.72071,0.83662,0.83171,0.99543,4.9595e-05,4.9595e-05,4.9595e-05
47,585.815,0.38976,0.9185,0.84021,0.84486,0.83499,0.89701,0.7023,0.8663,0.8436,1.01445,4.0586e-05,4.0586e-05,4.0586e-05
48,598.556,0.38214,0.87779,0.81998,0.8474,0.8515,0.90804,0.71905,0.83851,0.81624,1.00117,3.1577e-05,3.1577e-05,3.1577e-05
49,611.869,0.36992,0.88235,0.81001,0.83557,0.84086,0.90288,0.71354,0.83264,0.81329,0.99419,2.2568e-05,2.2568e-05,2.2568e-05
50,621.358,0.38192,0.88608,0.82413,0.84096,0.80971,0.89767,0.71046,0.83138,0.82487,0.99286,1.3559e-05,1.3559e-05,1.3559e-05
